"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Lahti Satulakatu",103133,,,61,25.6,155,"air quality (urban)",2011,,,
"Lahti Vesku 11",103134,,,61,25.7,99,"air quality (urban)",1990,,,
"Lappeenranta Ihalainen 2",107563,,,61,28.2,84,"air quality (urban)",2022,,,
"Lappeenranta Joutsenon keskusta",103115,,,61.1,28.5,103,"air quality (urban)",1997,,,
"Lappeenranta Lauritsala",103117,,,61.1,28.3,105,"air quality (urban)",1994,,,
"Lappeenranta Ojala-Tuomela",107379,,,61,28.2,70,"air quality (urban)",2021,,,
"Lappeenranta Pulp",103120,,,61.1,28.5,105,"air quality (urban)",1996,,,
"Lappeenranta Tirilä Pekkasenkatu",103123,,,61.1,28.2,91,"air quality (urban)",1989,,,
"Lappeenranta keskusta 4",103116,,,61.1,28.2,106,"air quality (urban)",2008,,,
"Lohja Harjula",107147,,,60.2,24.1,70,"air quality (urban)",2020,,,
"Luoto Vikarholmen",103153,,,63.7,22.8,2,"air quality (urban)",2001,,,
"Mariehamn Ålandsvägen",108160,,,60.1,19.9,7,"air quality (urban)",2025,,,
"Mikkeli Porrassalmenkatu",103149,,,61.7,27.3,89,"air quality (urban)",2003,,,
"Naantali keskusta Asematori",100824,,,60.5,22,14,"air quality (urban)",1999,,,
"Nastola Kukkasen koulu",104097,,,60.9,25.9,131,"air quality (urban)",2015,,,
"Nastola Rakokiventie siirrettävä",104091,,,60.9,26,142,"air quality (urban)",2016,,,
"Oulu Nokela",103124,,,65,25.5,8,"air quality (urban)",1979,,,
"Oulu Pyykösjärvi",103126,,,65,25.5,8,"air quality (urban)",1991,,,
"Oulu keskusta 2",103125,,,65,25.5,5,"air quality (urban)",1997,,,
"Parainen",104064,,,60.3,22.3,3,"air quality (urban)",2010,,,
"Pieksämäki Savontie",104108,,,62.3,27.2,111,"air quality (urban)",2007,,,
"Pietarsaari Bottenviksvägen",103152,,,63.7,22.7,8,"air quality (urban)",1994,,,
"Pori Paanakedonkatu",106420,,,61.5,21.8,2,"air quality (urban)",2016,,,
"Pori Pastuskeri",103135,,,61.7,21.5,3,"air quality (urban)",2012,,,
"Porvoo Mannerheiminkatu",104029,,,60.4,25.7,10,"air quality (urban)",2004,,,
"Porvoo Mustijoki",103139,,,60.4,25.6,10,"air quality (urban)",1991,,,
"Porvoo Nyby",103140,,,60.3,25.5,28,"air quality (urban)",2011,,,
"Porvoo Svartbäck",103141,,,60.3,25.5,15,"air quality (urban)",2013,,,
"Raahe Lapaluoto",103145,,,64.7,24.4,,"air quality (urban)",1982,,,
"Raahe keskusta",103147,,,64.7,24.5,3,"air quality (urban)",2005,,,
"Raasepori Karjaa",108098,,,60.1,23.7,19,"air quality (urban)",2023,,,
"Raisio Ihala",106630,,,60.5,22.2,10,"air quality (urban)",2017,,,
"Raisio Kaanaa Sakunpiha",106419,,,60.5,22.1,20,"air quality (urban)",2016,,,
"Ranua Suhanko Palovaara",108156,,,66.1,26.1,223,"air quality (urban)",2024,,,
"Rauma Sinisaari",778578,,,61.1,21.5,2,"air quality (urban)",1986,,,
"Rauma Tarvonsaari Hallikatu",103113,,,61.1,21.5,3,"air quality (urban)",2002,,,
"Rovaniemi Rovakatu",103816,,,66.5,25.7,,"air quality (urban)",2015,,,
"Savonlinna Haapasalmi",106418,,,61.9,28.9,79,"air quality (urban)",2016,,,
"Savonlinna Olavinkatu",104045,,,61.9,28.9,79,"air quality (urban)",2004,,,
"Seinäjoki Vapaudentie 6a",103110,,,62.8,22.8,,"air quality (urban)",2011,,,
"Siilinjärvi Kolmisoppi",108123,,,63.2,27.7,107,"air quality (urban)",2023,,,
"Siilinjärvi Kuusela",108481,,,63.1,27.7,89,"air quality (urban)",2025,,,
"Siilinjärvi Kuuslahti",107026,,,63.1,27.8,103,"air quality (urban)",2018,,,
"Siilinjärvi Murtomäki",106629,,,63.1,27.7,123,"air quality (urban)",2017,,,
"Siilinjärvi Musti",105425,,,63.2,27.7,140,"air quality (urban)",2019,,,
"Siilinjärvi Pahkamäki",104099,,,63.2,27.8,143,"air quality (urban)",2015,,,
"Siilinjärvi Ranta",107542,,,63.1,27.8,87,"air quality (urban)",2021,,,
"Siilinjärvi Sorakuja",104017,,,63.1,27.7,,"air quality (urban)",2002,,,
"Tampere Epila 2",103096,,,61.5,23.7,100,"air quality (urban)",2009,,,
"Tampere Kaleva",103097,,,61.5,23.8,109,"air quality (urban)",2009,,,
"Tampere Linja-autoasema",103098,,,61.5,23.8,80,"air quality (urban)",2008,,,
"Tampere Pirkankatu",103099,,,61.5,23.7,120,"air quality (urban)",2003,,,
"Tornio Keskusta",107142,,,65.8,24.1,,"air quality (urban)",2019,,,
"Tornio Näätsaari",107141,,,65.8,24.2,,"air quality (urban)",2019,,,
"Turku Kauppatori 2",107569,,,60.5,22.3,5,"air quality (urban)",2022,,,
"Turku Kauppatori väliaikainen",106797,,,60.5,22.3,6,"air quality (urban)",2018,,,
"Turku Ruissalo Saarontie",100845,,,60.4,22.1,6,"air quality (urban)",1999,,,
"Vaasa Vesitorni",103103,,,63.1,21.6,16,"air quality (urban)",2006,,,
"Vaasa keskusta Vaasanpuistikko",103104,,,63.1,21.6,15,"air quality (urban)",2001,,,
"Vantaa Hämeenlinnanväylä",104083,,,60.3,24.9,29,"air quality (urban)",2015,,,
"Vantaa Jätevoimala",104085,,,60.3,25.1,,"air quality (urban)",2014,,,
"Vantaa Kehä III Viinikkala",108157,,,60.3,24.9,26,"air quality (urban)",2025,,,
"Vantaa Päiväkumpu",104066,,,60.3,25.1,,"air quality (urban)",2010,,,
"Vantaa Tikkurila Neilikkatie",100763,,,60.3,25,21,"air quality (urban)",1996,,,
"Vantaa Tikkurila Talvikkitie",106951,,,60.3,25,17,"air quality (urban)",2019,,,
"Varkaus Kommila",107382,,,62.3,27.9,86,"air quality (urban)",2021,,,
"Varkaus Kosulanniemi Rantalankatu",106417,,,62.3,27.9,85,"air quality (urban)",2016,,,
"Varkaus Psaari 2",103100,,,62.3,27.9,80,"air quality (urban)",2003,,,
"Varkaus Taulumäki (toripaviljonki)",103102,,,62.3,27.9,86,"air quality (urban)",2001,,,
"Varkaus kaupungintalo",104188,,,62.3,27.9,78,"air quality (urban)",1991,,,
"Äänekoski Paloasema",107168,,,62.6,25.7,,"air quality (urban)",2020,,,
"Espoo Kytö",654910,,,60.1,24.7,0,"buoy",2013,,,
"Hanko Längden",654900,,,59.8,23.2,0,"buoy",2013,,,
"Helsinki Suomenlinna wavebuoy",103976,,,60.1,25,0,"buoy",2016,,,
"Kalajoki Maakalla",103808,,,64.3,23.6,,"buoy",2015,,,
"Kemi aaltopoiju",108499,,,65.5,24.3,0,"buoy",2025,,,
"Kemiönsaari Kalvören",654923,,,59.9,22.6,,"buoy",2013,,,
"Kotka Kuusenkari",100761,,,60.3,27.1,0,"buoy",2014,,,
"Loviisa Orrengrund aaltopoiju",108495,,,60.2,26.4,0,"buoy",2025,,,
"Maalahti Storskäret",107033,,,63.1,20.8,,"buoy",2019,,,
