"Name","FMISID","LPNN","WMO","Lat","Lon","Elevation","Groups","Started",,,
"Kankaanpää Niinisalo airfield",101291,2123,2753,61.8,22.5,123,"weather",1940,,,
"Karvia Alkkia",101272,2103,2708,62.2,22.8,162,"weather",1966,,,
"Kaskinen Sälgrund",101256,2002,2931,62.3,21.2,5,"weather",1876,,,
"Kauhajoki Kuja-Kokko",101289,2121,2769,62.4,22.2,94,"weather",1986,,,
"Kauhava airfield",101503,3201,2913,63.1,23,42,"weather",1931,,,
"Kemi Ajos",101846,6307,2862,65.7,24.5,3,"weather",1973,,,
"Kemi I lighthouse",101783,5309,2863,65.4,24.1,0,"weather",1978,,,
"Kemi Kemi-Tornio airport",101840,6301,2864,65.8,24.6,11,"weather",1945,,,
"Kemijärvi airfield",101950,7607,2814,66.7,27.2,208,"weather",2006,,,
"Kemiönsaari Kemiö",100951,120,2906,60.2,22.8,12,"weather",2009,,,
"Kemiönsaari Vänö",100945,114,2743,59.9,22.2,10,"weather",1990,,,
"Kirkkonummi Mäkiluoto",100997,331,2794,59.9,24.4,4,"weather",1989,,,
"Kittilä Kenttärova",101987,8312,2824,68,24.2,347,"weather",2002,,,
"Kittilä Pakatti",101990,8315,2860,67.7,24.9,179,"weather",2009,,,
"Kittilä Pokka",101994,8404,2717,68.2,25.8,275,"weather",1971,,,
"Kittilä airport",101986,8311,2720,67.7,24.9,195,"weather",1999,,,
"Kokemäki Tulkkila",101103,1140,2937,61.3,22.3,38,"weather",1912,,,
"Kokkola Santahaka",101675,4214,2852,63.8,23.1,5,"weather",2007,,,
"Kokkola Tankar",101661,4109,2721,64,22.8,7,"weather",1889,,,
"Korsnäs Bredskäret",101479,3018,2780,62.9,21.2,5,"weather",1991,,,
"Kotka Haapasaari",101042,601,2967,60.3,27.2,4,"weather",1986,,,
"Kotka Rankki",101030,501,2976,60.4,27,11,"weather",1933,,,
"Kouvola Anjala",101194,1504,2830,60.7,26.8,31,"weather",1941,,,
"Kouvola Utti Lentoportintie",101219,1529,2956,60.9,26.9,96,"weather",1944,,,
"Kouvola Utti airport",101191,1501,2966,60.9,26.9,102,"weather",1944,,,
"Kristiinankaupunki lighthouse",101268,2014,2752,62.2,21.2,0,"weather",1997,,,
"Kruunupyy Kokkola-Pietarsaari airport",101662,4201,2903,63.7,23.1,25,"weather",1960,,,
"Kuhmo Kalliojoki",101773,4901,2799,64.3,30.2,196,"weather",1997,,,
"Kumlinge parish",100928,23,2790,60.3,20.7,23,"weather",2000,,,
"Kuopio Maaninka",101572,3603,2788,63.1,27.3,91,"weather",1930,,,
"Kuopio Ritoniemi",101580,3611,2732,62.8,27.9,86,"weather",1980,,,
"Kuopio Savilahti",101586,3617,2955,62.9,27.6,87,"weather",2005,,,
"Kustavi Isokari",101059,1016,2964,60.7,21,5,"weather",1974,,,
"Kuusamo Kiutaköngäs",101887,6802,2811,66.4,29.3,167,"weather",1966,,,
"Kuusamo Rukatunturi",101897,6812,2868,66.2,29.2,497,"weather",1990,,,
"Kuusamo Välikangas",107081,,,66,29.2,268,"weather",2019,,,
"Kuusamo airport",101886,6801,2869,66,29.2,265,"weather",1908,,,
"Kökar Bogskär",100921,16,2979,59.5,20.3,4,"weather",1982,,,
"Lahti Sopenkorpi",104796,1441,,61,25.6,100,"weather",2016,,,
"Lappeenranta Hiekkapakka",101252,1716,2919,61.2,28.5,77,"weather",2009,,,
"Lappeenranta Konnunsuo",101246,1710,2733,61,28.6,46,"weather",1991,,,
"Lappeenranta airport",101237,1701,2958,61,28.1,104,"weather",1950,,,
"Lemland Nyhamn",100909,3,2980,60,20,9,"weather",1958,,,
"Lieksa Lampela",101636,3904,2796,63.3,30,99,"weather",1946,,,
"Liperi Joensuu airport",101608,3801,2929,62.7,29.6,112,"weather",1955,,,
"Liperi Tuiskavanluoto",101628,3821,2793,62.5,29.7,78,"weather",1997,,,
"Lohja Porla",100974,307,2706,60.2,24,35,"weather",1949,,,
"Loviisa Orrengrund",101039,510,2992,60.3,26.4,1,"weather",1974,,,
"Luhanka Judinsalo",101362,2426,2765,61.7,25.5,80,"weather",1990,,,
"Lumparland Långnäs harbour",151048,12,2724,60.1,20.3,10,"weather",2012,,,
"Maalahti Strömmingsbådan",101481,3020,2781,63,20.7,2,"weather",1997,,,
"Maarianhamina Lotsberget",107383,,,60.1,19.9,40,"weather",2021,,,
"Mariehamn West Harbour",151029,26,2997,60.1,19.9,2,"weather",2012,,,
"Mikkeli airport AWOS",855522,,,61.7,27.2,101,"weather",1959,,,
"Mikkeli airport",101398,2602,2947,61.7,27.2,99,"weather",1951,,,
"Multia Karhila",101536,3317,2927,62.5,24.8,227,"weather",2008,,,
"Muonio Laukukero",101982,8307,2820,68.1,24,760,"weather",1996,,,
"Muonio Oustajärvi",106435,8211,2823,67.9,23.7,240,"weather",2013,,,
"Mustasaari Valassaaret",101464,3003,2910,63.4,21.1,4,"weather",1895,,,
"Mäntsälä Hirvihaara",103794,1440,2774,60.6,25.2,83,"weather",2015,,,
"Nurmes Valtimo",101743,4701,2798,63.7,28.8,114,"weather",1969,,,
"Nurmijärvi Röykkä",101149,1321,2983,60.5,24.7,110,"weather",1952,,,
"Oulu Kaukovainio",108040,,,65,25.5,13,"weather",2023,,,
"Oulu Vihreäsaari harbour",101794,5409,2876,65,25.4,3,"weather",1996,,,
"Oulu airport",101786,5401,2875,64.9,25.3,13,"weather",1953,,,
"Parainen Fagerholm",100924,19,2950,60.1,21.7,3,"weather",1989,,,
"Parikkala Koitsanlahti",101254,1802,2734,61.4,29.5,74,"weather",1991,,,
"Pelkosenniemi Pyhätunturi",101958,7708,2705,67,27.2,489,"weather",1995,,,
"Pello parish",101914,7307,2844,66.8,24,86,"weather",1970,,,
"Pietarsaari Kallan",101660,4108,2920,63.8,22.5,2,"weather",1995,,,
"Pirkkala Tampere-Pirkkala airport",101118,1215,2944,61.4,23.6,112,"weather",1979,,,
"Pori Isomäki",108440,,,61.5,21.8,14,"weather",2025,,,
"Pori Tahkoluoto harbour",101267,2013,2751,61.6,21.4,3,"weather",1996,,,
"Pori airport",101044,1001,2952,61.5,21.8,11,"weather",1945,,,
"Porvoo Emäsalo",101023,417,2991,60.2,25.6,19,"weather",1974,,,
"Porvoo Harabacka",101028,422,2759,60.4,25.6,22,"weather",2006,,,
"Porvoo Kalbådagrund",101022,416,2987,60,25.6,0,"weather",1977,,,
"Porvoo Kilpilahti harbour",100683,424,2994,60.3,25.5,2,"weather",2014,,,
"Pudasjärvi airfield",101805,5507,2866,65.4,27,120,"weather",1999,,,
"Puolanka Paljakka",101831,5716,2859,64.7,28.1,341,"weather",2009,,,
"Puumala parish",150168,2708,2718,61.5,28.2,98,"weather",2012,,,
"Pyhtää airfield",107029,513,,60.5,26.6,21,"weather",2019,,,
"Pyhäjärvi Ojakylä",101705,4412,2738,63.7,25.7,152,"weather",1990,,,
"Raahe Lapaluoto harbour",101785,5311,2872,64.7,24.4,2,"weather",1990,,,
"Raahe Nahkiainen",101775,5201,2800,64.6,23.9,0,"weather",1997,,,
"Raasepori Jussarö",100965,215,2757,59.8,23.6,17,"weather",1990,,,
"Rantasalmi Rukkasluoto",101436,2716,2772,62.1,28.6,79,"weather",1997,,,
"Ranua Aho",108133,,,66.2,26.1,223,"weather",2024,,,
"Ranua airfield",101873,6514,2881,66,26.4,161,"weather",2008,,,
"Rauma Kylmäpihlaja",101061,1018,2761,61.1,21.3,4,"weather",1990,,,
"Rauma Pyynpää",105427,1023,,61.1,21.5,15,"weather",2018,,,
"Rovaniemi Apukka",101933,7502,2813,66.6,26,106,"weather",1939,,,
"Rovaniemi airport",101920,7401,2845,66.6,25.8,189,"weather",1951,,,
"Rovaniemi airport AWOS",137190,,,66.6,25.8,187,"weather",1999,,,
"Rovaniemi railway station",101928,7409,2847,66.5,25.7,85,"weather",1997,,,
"Salla Naruska",101966,7804,2745,67.2,29.2,213,"weather",1999,,,
"Salla parish",101959,7709,2849,66.8,28.7,218,"weather",1960,,,
"Salo Kiikala airfield",100967,217,2777,60.5,23.6,117,"weather",2002,,,
"Salo Kärkkä",100955,205,2756,60.4,23.1,3,"weather",1936,,,
"Savonlinna Punkaharju Laukansaari",101441,2801,2778,61.8,29.3,79,"weather",1904,,,
"Savonlinna airport",101430,2710,2948,61.9,28.9,92,"weather",1974,,,
"Savukoski Tulppio",107565,,,67.8,29.2,217,"weather",2022,,,
"Savukoski parish",101952,7702,2815,67.3,28.2,174,"weather",1934,,,
"Seinäjoki Pelmaa",101486,3101,2833,62.9,22.5,26,"weather",1927,,,
"Siikajoki Ruukki",101787,5402,2803,64.7,25.1,48,"weather",1911,,,
"Siilinjärvi Kuopio airport",101570,3601,2917,63,27.8,94,"weather",1945,,,
"Sipoo Itätoukki",105392,425,,60.1,25.2,8,"weather",2017,,,
"Sodankylä Lokka",102000,8601,2719,67.8,27.7,240,"weather",1958,,,
"Sodankylä Vuotso",102001,8602,2816,68.1,27.2,247,"weather",1958,,,
"Somero Salkola",101128,1227,2949,60.6,23.8,142,"weather",2010,,,
"Sotkamo Kuolaniemi",101756,4714,2739,64.1,28.3,160,"weather",1989,,,
"Sotkamo Tuhkakylä",107113,,,64,28.1,211,"weather",2019,,,
"Suomussalmi Pesiö",101826,5711,2889,64.9,28.7,222,"weather",1981,,,
"Taivalkoski parish",101885,6707,2804,65.6,28.2,197,"weather",2002,,,
"Tampere Härmälä",101124,1222,2763,61.5,23.7,85,"weather",1948,,,
"Tampere Siilinkari",101311,2219,2943,61.5,23.8,96,"weather",1989,,,
"Tervola Loue",107201,6313,,66.2,25,38,"weather",2020,,,
"Tohmajärvi Kemie",101459,2902,2832,62.2,30.3,91,"weather",1925,,,
"Toholampi Laitala",101689,4314,2737,63.8,24.2,84,"weather",1988,,,
"Tornio Kaakkuri",101851,6312,2880,65.9,24.2,6,"weather",2008,,,
"Turku Artukainen",100949,118,2773,60.5,22.2,8,"weather",2003,,,
"Turku Rajakari",100947,116,2747,60.4,22.1,3,"weather",1991,,,
"Turku airport",101065,1101,2972,60.5,22.3,45,"weather",1955,,,
"Utsjoki Kevo",102035,9603,2805,69.8,27,107,"weather",1961,,,
"Utsjoki Kevo Kevojärvi",126737,9618,2890,69.8,27,76,"weather",2010,,,
"Utsjoki Nuorgam",102036,9604,2825,70.1,27.9,22,"weather",1929,,,
"Vaala Pelso",101800,5502,2714,64.5,26.4,113,"weather",1943,,,
"Vaasa Klemettilä",101485,3024,2957,63.1,21.6,8,"weather",2010,,,
"Vaasa airport",101462,3001,2911,63.1,21.8,4,"weather",1946,,,
"Vantaa Helsinki-Vantaa airport",100968,301,2974,60.3,25,47,"weather",1952,,,
"Varkaus Kosulanniemi",101421,2625,2850,62.3,27.9,83,"weather",2007,,,
"Vesanto parish",101555,3502,2710,62.9,26.4,121,"weather",1914,,,
"Vieremä Kaarakkala",101726,4602,2834,63.8,27.2,206,"weather",1937,,,
"Vihti Maasoja",100976,309,2758,60.4,24.4,39,"weather",1938,,,
"Viitasaari Haapaniemi",101537,3401,2915,63.1,25.9,130,"weather",1969,,,
"Virolahti Koivuniemi",101231,1612,2831,60.5,27.7,5,"weather",1976,,,
"Virrat Äijänneva",101310,2218,2735,62.3,23.5,138,"weather",1986,,,
"Ylitornio Meltosjärvi",101908,7301,2812,66.5,24.6,93,"weather",1935,,,
"Ylivieska airfield",101690,4315,2755,64.1,24.7,76,"weather",2000,,,
"Ähtäri Inha",101520,3301,2924,62.6,24.1,162,"weather",1912,,,
"Hailuoto Marjaniemi",101784,5310,2873,65,24.6,7,"weather","air quality (FMI)",1881,,
"Helsinki Kumpula",101004,339,2998,60.2,25,24,"weather","air quality (FMI)",2005,,
"Ilomantsi Pötsönvaara",101649,3917,2766,63.1,31,237,"weather","air quality (FMI)",1997,,
"Kittilä Lompolonvuoma",778135,8303,2764,68,24.2,270,"weather","air quality (FMI)",2013,,
"Kittilä Matorova",101985,8310,2882,68,24.2,339,"weather","air quality (FMI)",1995,,
"Kuusamo Juuma",101899,6814,2749,66.3,29.4,298,"weather","air quality (FMI)",1989,,
"Muonio Sammaltunturi",101983,8308,2821,68,24.1,555,"weather","air quality (FMI)",1991,,
"Haapavesi Mustikkamäki",101695,4402,2797,64.1,25.4,112,"weather","precipitation",1951,,
"Halsua Purola",101528,3309,2725,63.4,24.4,153,"weather","precipitation",1958,,
"Rautavaara Ylä-Luosta",101603,3716,2789,63.4,28.7,164,"weather","precipitation",1976,,
"Parainen Utö",100908,2,2981,59.8,21.4,6,"weather","precipitation","air quality (FMI)",1881,
"Juupajoki Hyytiälä",101317,2303,2770,61.8,24.3,154,"weather","precipitation","air quality (FMI)","air quality (urban)",1956
"Salla Värriötunturi",102012,8803,2819,67.7,29.6,360,"weather","precipitation","air quality (FMI)","air quality (urban)",1971
"Inari Saariselkä Kaunispää",102006,8607,2817,68.4,27.4,437,"weather","radar",1995,,
"Jokioinen Ilmala",101104,1201,2963,60.8,23.5,104,"weather","sounding",1928,,
"Sodankylä Tähtelä",101932,7501,2836,67.4,26.6,179,"weather","sounding","air quality (FMI)",1891,
